names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
Mission Majnu,2023,U/A 16+ ,2h 9m,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","['Spy Movies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure']",Suspenseful,"['Sidharth Malhotra', 'Rashmika Mandanna', 'Parmeet Sethi', 'Sharib Hashmi', 'Kumud Mishra']","['English,', 'English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original],', 'Tamil,', 'Telugu']"
Cirkus,2022,U/A 7+ ,2h 14m,Chaos and comedy take the spotlight when a ringmaster and his band of acrobats set out to revive the fading culture of classic circus entertainment.,"['Hindi-Language Movies', 'Bollywood Movies', 'Comedies']",Goofy,"['Ranveer Singh', 'Varun Sharma', 'Pooja Hegde', 'Jacqueline Fernandez', 'Sanjay Mishra', 'Anil Mange', 'Murli Sharma', 'Siddarth Jadhav']","['English,', 'Hindi']",['Hindi [Original]']
Gangubai Kathiawadi,2022,U/A 16+ ,2h 33m,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.","['Hindi-Language Movies', 'Movies Based on Books', 'Dramas']",Provocative,"['Alia Bhatt', 'Vijay Raaz', 'Seema Pahwa', 'Ajay Devgn', 'Jim Sarbh', 'Chhaya Kadam', 'Shantanu Maheshwari', 'Indira Tiwari']","['English,', 'Hindi']","['Hindi [Original],', 'Telugu']"
Thunivu,2023,U/A 16+ ,2h 22m,A major bank heist takes an unnerving turn when a mysterious interloper known only as Dark Devil begins to hijack the operation.,"['Crime Movies', 'Action & Adventure']",Exciting,"['Ajith Kumar', 'Manju Warrier', 'Samuthirakani', 'John Kokken']","['English,', 'Hindi']",['Tamil [Original]']
Bhool Bhulaiyaa 2,2022,U/A 13+ ,2h 21m,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Horror Movies']","Offbeat,","['Tabu', 'Kartik Aaryan', 'Kiara Advani', 'Rajpal Yadav', 'Sanjay Mishra', 'Ashwini Kalsekar', 'Rajesh Sharma', 'Amar Upadhyay']","['English,', 'Hindi']",['Hindi [Original]']
Doctor G,2022,U/A 13+ ,2h 1m,"Medical student Uday Gupta grudgingly joins an all-women's gynecology class, but being a good doctor — and person — rests on pondering his prejudice.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas']","Quirky,","['Ayushmann Khurrana', 'Rakul Preet Singh', 'Sheeba Chaddha', 'Shefali Shah', 'Abhay Mishr', 'Indraneil Sengupta', 'Ayesha Kaduskar', 'Pooja Swaroop']","['English,', 'Hindi']",['Hindi [Original]']
Double XL,2022,U/A 13+ ,2h 5m,"Relentlessly shamed for their weight, two women head to London to prove that the size of their dreams is the only one that matters.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas']",Feel-Good,"['Sonakshi Sinha', 'Huma Qureshi', 'Zaheer Iqbal', 'Mahat Raghavendra', 'Shubha Khote', 'Kanwaljeet Singh', 'Alka Badola Kaushal', 'Sachin Shroff']","['English,', 'Hindi']",['Hindi [Original]']
Kabir Singh,2019,A ,2h 51m,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.","['Hindi-Language Movies', 'Bollywood Movies', 'Dramas', 'Romantic Movies']","Emotional,","['Shahid Kapoor', 'Kiara Advani', 'Suresh Oberoi', 'Arjan Bajwa', 'Adil Hussain', 'Nikita Dutta', 'Kamini Kaushal', 'Anurag Arora']",['English'],['Hindi [Original]']
Raw (Hindi),2022,U/A 16+ ,2h 36m,A jaded former intelligence agent is pulled back into action when an attack at a mall creates a tense hostage situation.,['Action & Adventure'],,"['Vijay', 'Pooja Hegde']",['English'],['Hindi']
Sooryavanshi,2021,U/A 16+ ,2h 23m,"A fearless, faithful (and only slightly forgetful) Mumbai cop pulls out all the stops — and stunts — to thwart a major conspiracy to attack his city.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Action & Adventure']",Exciting,"['Akshay Kumar', 'Katrina Kaif', 'Abhimanyu Singh', 'Gulshan Grover', 'Kumud Mishra', 'Jackie Shroff', 'Jaaved Jaaferi', 'Mrunal Jain']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original],', 'Kannada,', 'Malayalam,', 'Tamil,', 'Telugu']"
The Elephant Whisperers,2022,U/A 7+ ,40m,"Bomman and Bellie, a couple in south India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other.","['Documentaries', 'Science & Nature Docs', 'Nature & Ecology Documentaries', 'Children & Family Movies']",Heartfelt,[],"['English,', 'English,', 'Tamil']","['English,', 'Hindi,', 'Tamil - Audio Description,', 'Tamil [Original],', 'Telugu']"
Kantara (Hindi),2022,U/A 16+ ,2h 27m,"A fiery young man clashes with an unflinching forest officer in a south Indian village where spirituality, fate and folklore rule the lands.",['Action & Adventure'],"Ominous,","['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda', 'Manasi Sudhir', 'Prakash Tuminadu', 'Shanil Guru', 'Pramod Shetty', 'Deepak Rai Panaje', 'Ranjan']","['English,', 'Hindi']","['English,', 'Hindi']"
Student of the Year,2012,U/A 13+ ,2h 25m,"Rivals turned friends find their bromance tested when they battle it out to win not only a grueling school competition, but also the same girl's heart.","['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas', 'Romantic Movies']","Emotional,","['Sidharth Malhotra', 'Alia Bhatt', 'Varun Dhawan', 'Rishi Kapoor', 'Ronit Roy', 'Ram Kapoor', 'Manjot Singh', 'Sana Saeed']",['English'],['Hindi [Original]']
Phir Hera Pheri,2006,U/A 13+ ,2h 29m,"Driven by greed, three rich friends seek to double their wealth and find themselves indebted to a ruthless gangster.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies']",Goofy,"['Akshay Kumar', 'Sunil Shetty', 'Paresh Rawal', 'Bipasha Basu', 'Rimi Sen', 'Johny Lever', 'Sharat Saxena', 'Manoj Joshi', 'Milind Gunaji', 'Rajpal Yadav']","['English,', 'Hindi']",['Hindi [Original]']
An Action Hero,2022,U/A 16+ ,2h 8m,"A murder accusation turns a movie star's own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.","['Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies']","Offbeat,","['Ayushmann Khurrana', 'Jaideep Ahlawat', 'Neeraj Madhav', 'Harsh Chhaya', 'Gautum Joglekar', 'Vaquar Shaikh', 'Sumit Singh', 'Jitendra Hooda']","['English,', 'Hindi']",['Hindi [Original]']
Goodbye,2022,U/A 13+ ,2h 21m,"After a mother's sudden death, chaos and grief collide when four adult siblings return to their traditional father's home for the funeral.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas']","Quirky,","['Amitabh Bachchan', 'Rashmika Mandanna', 'Neena Gupta', 'Pavail Gulati', 'Sunil Grover', 'Ashish Vidyarthi', 'Elli Avram', 'Sahil Mehta', 'Shivin Narang', 'Abhishek Khan']","['English,', 'Hindi']",['Hindi [Original]']
Honeymoon,2022,U/A 13+ ,2h 11m,A newlywed couple's honeymoon in London turns into a hilariously chaotic trip when the pair's clueless family crashes the romantic getaway.,['Comedies'],Sentimental,"['Gippy Grewal', 'Jasmin Bhasin', 'Nirmal Rishi', 'Sardar Sohi', 'Karamjit Anmol', 'Harby Sangha', 'Seema Kaushal', 'Raj Dhaliwal']","['English,', 'Hindi']",['Punjabi [Original]']
CBI 5: The Brain,2022,U/A 13+ ,2h 42m,"When a political leader's sudden death sets off a baffling case for police, it's up to ace detective Sethurama Iyer to unravel the mystery.","['Mysteries', 'Crime Movies', 'Dramas', 'Thriller Movies']",Exciting,"['Mammootty', 'Soubin Shahir', 'Jagathy Sreekumar', 'Mukesh', 'Saikumar', 'Anoop Menon', 'Renji Panicker', 'Asha Sarath', 'Ansiba Hassan', 'Dileesh Pothan']","['English,', 'Spanish,', 'Hindi']","['Hindi,', 'Malayalam [Original],', 'Tamil,', 'Telugu']"
Chup Chup Ke,2006,U/A 13+ ,2h 37m,"Mistaking a broke, small-time hustler for a millionaire, two bumbling fishermen hatch a scheme to use him to help pay off their debts.","['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas', 'Romantic Movies']","Emotional,","['Kareena Kapoor', 'Shahid Kapoor', 'Paresh Rawal', 'Rajpal Yadav', 'Neha Dhupia', 'Sunil Shetty', 'Om Puri', 'Asrani', 'Anupam Kher', 'Manoj Joshi']",['English'],['Hindi [Original]']
RRR (Hindi),2022,A ,3h 5m,A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India.,"['Action & Adventure', 'Dramas']",Adrenaline Rush,"['NTR Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt', 'Shriya Saran', 'Samuthirakani', 'Ray Stevenson', 'Alison Doody', 'Olivia Morris']","['English,', 'Hindi']","['English,', 'Hindi']"
Lust Stories,2018,A ,2h,"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.","['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas', 'Romantic Movies']","Emotional,","['Vicky Kaushal', 'Bhumi Pednekar', 'Radhika Apte', 'Neha Dhupia', 'Manisha Koirala', 'Akash Thosar', 'Randeep Jha', 'Neil Bhoopalam', 'Jaideep Ahlawat', 'Sanjay Kapoor', 'Kiara Advani']","['English,', 'English']","['English,', 'Hindi - Audio Description,', 'Hindi [Original],', 'Tamil,', 'Telugu']"
Chhota Bheem aur Krishna,2009,U/A 7+ ,1h 8m,"Centuries after the end of a conqueror's rule, he is mysteriously back from the dead. It’s up to Bheem to save Dholakpur from being taken over!","['Hindi-Language Movies', 'Children & Family Movies']",Exciting,"['Vatsal Dubey', 'Julie Tejwani', 'Rupa Bhimani', 'Jigna Bhardwaj', 'Rajesh Kava', 'Arun Shekher', 'Sanchit Wartak']",['English'],"['English,', 'Hindi [Original],', 'Tamil']"
Don 2,2011,U/A 13+ ,2h 27m,"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Action & Adventure']",Exciting,"['Shah Rukh Khan', 'Priyanka Chopra Jonas', 'Boman Irani', 'Kunal Kapoor', 'Om Puri', 'Alyy Khan', 'Nawab Shah', 'Lara Dutta', 'Sahil Shroff']",['English'],['Hindi [Original]']
Chennai Express,2013,U/A 13+ ,2h 14m,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,"['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies', 'Romantic Movies']","Emotional,","['Shah Rukh Khan', 'Deepika Padukone', 'Nikitin Dheer', 'Satyaraj', 'Kamini Kaushal', 'Lekh Tandon', 'Mukesh Tiwari']",['English'],['Hindi [Original]']
Skater Girl,2021,U/A 7+ ,1h 49m,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.","['Family Features', 'Children & Family Movies', 'Dramas', 'Sports Movies']","Adrenaline Rush,","['Rachel Saanchita Gupta', 'Amy Maghera', 'Shafin Patel', 'Ambrish Saxena', 'Swati Das', 'Jonathan Readwin', 'Ankit Yadav', 'Anurag Arora', 'Vinayak Gupta', 'Vivek Yadav', 'Waheeda Rehman']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Tamil,', 'Telugu']"
Dilwale,2015,U/A 13+ ,2h 33m,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance.","['Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Dramas', 'Romantic Movies']","Emotional,","['Shah Rukh Khan', 'Kajol', 'Varun Dhawan', 'Kriti Sanon', 'Boman Irani', 'Kabir Bedi', 'Johny Lever', 'Varun Sharma', 'Sanjay Mishra', 'Pankaj Tripathi']",['English'],['Hindi [Original]']
Jersey,2022,U/A 13+ ,2h 48m,"Ten years after quitting cricket, a gifted but dejected ex-batsman pursues a spot on the national team, hoping to fulfill his son's wish for a jersey.","['Hindi-Language Movies', 'Bollywood Movies', 'Dramas', 'Sports Movies']",Emotional,"['Shahid Kapoor', 'Mrunal Thakur', 'Pankaj Kapur', 'Ronit Kamra', 'Anjum Batra', 'Gitika Mahendru', 'Abhishek Madrecha']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original]']"
Chillar Party,2011,U/A 7+ ,2h 6m,"Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal.","['Family Features', 'Hindi-Language Movies', 'Children & Family Movies', 'Comedies', 'Dramas']","Sentimental,","['Irfan Khan', 'Raju', 'Sanath Menon', 'Rohan Grover', 'Naman Jain', 'Aarav Khanna', 'Vishesh Tiwari', 'Chinmay Chandraunshuh', 'Vedant Desai', 'Shriya Sharma', 'Divji Handa']",['English'],['Hindi [Original]']
Main Hoon Na,2004,U/A 13+ ,2h 51m,Major Ram Prasad Sharma yearns to see project Mission Milaap come to fruition and usher in an era of peace between two warring countries. But the evil Raghavan will do anything to stop the peace process.,"['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies', 'Dramas', 'Romantic Movies']","Emotional,","['Shah Rukh Khan', 'Sunil Shetty', 'Sushmita Sen', 'Zayed Khan', 'Amrita Rao', 'Kiron Kher', 'Boman Irani', 'Bindu', 'Naseeruddin Shah', 'Kabir Bedi']",['English'],['Hindi [Original]']
Mili,2022,U/A 16+ ,2h 6m,"After she's accidentally trapped in a walk-in freezer at work, a young woman fights to stay alive as her father and boyfriend launch a search for her.","['Hindi-Language Movies', 'Bollywood Movies', 'Thriller Movies']",Suspenseful,"['Janhvi Kapoor', 'Sunny Kaushal', 'Manoj Pahwa', 'Rajesh Jais', 'Vikram Kochhar', 'Anurag Arora', 'Hasleen Kaur', 'Sanjay Suri']","['English,', 'Hindi']",['Hindi [Original]']
Shabaash Mithu,2022,U/A 13+ ,2h 34m,"From child prodigy to trailblazing captain, sports icon Mithali Raj navigates the highs and lows of professional cricket in this coming-of-age drama.","['Movies Based on Real Life', 'Hindi-Language Movies', 'Bollywood Movies', 'Dramas', 'Sports Movies']","Heartfelt,","['Taapsee Pannu', 'Vijay Raaz', 'Geeta Agrawal Sharma', 'Inayat Verma', 'Kasturi Jagnam', 'Mumtaz Sorcar', 'Shilpi Marwaha', 'Sampa Mandal']","['English,', 'Hindi']","['Hindi [Original],', 'Tamil,', 'Telugu']"
Darlings,2022,U/A 16+ ,2h 14m,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.","['Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Thriller Movies']",Offbeat,"['Alia Bhatt', 'Shefali Shah', 'Vijay Varma', 'Roshan Mathew', 'Rajesh Sharma', 'Vijay Maurya', 'Kiran Karmarkar', 'Pooja Swaroop', 'Santosh Juvekar']","['English,', 'Hindi']","['English,', 'Hindi - Audio Description,', 'Hindi [Original]']"
Vadh,2022,U/A 16+ ,1h 49m,"Buried under a mountain of debt, Shambhunath Mishra is pushed to a murderous brink when a menacing loan shark begins threatening his family.","['Hindi-Language Movies', 'Crime Movies', 'Dramas', 'Thriller Movies']",Dark,"['Sanjay Mishra', 'Neena Gupta', 'Manav Vij', 'Saurabh Sachdeva', 'Sumit Gulati', 'Jaspal Singh Sandhu', 'Nadeem Khan', 'Diwakar Kumar']","['English,', 'Hindi']",['Hindi [Original]']
3 Idiots,2009,U/A 16+ ,2h 43m,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.","['Hindi-Language Movies', 'Movies Based on Books', 'Bollywood Movies', 'Comedies', 'Dramas']","Sentimental,","['Aamir Khan', 'Kareena Kapoor', 'Madhavan', 'Sharman Joshi', 'Omi Vaidya', 'Boman Irani', 'Mona Singh', 'Jaaved Jaaferi']",['English'],['Hindi [Original]']
Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,U/A 7+ ,1h 5m,Krishna needs Bheem’s help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?,"['Hindi-Language Movies', 'Children & Family Movies']",Exciting,"['Vatsal Dubey', 'Julie Tejwani', 'Rupa Bhimani', 'Jigna Bhardwaj', 'Rajesh Kava', 'Arun Shekher', 'Sanchit Wartak']",['English'],"['English,', 'Hindi [Original],', 'Tamil']"
Jab We Met,2007,U/A 13+ ,2h 23m,Changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy Bollywood romantic comedy.,"['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Romantic Movies']","Intimate,","['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh', 'Pavan Malhotra', 'Kamal Tiwari', 'Kiran Juneja', 'Divya Seth', 'Saumya Tandon']","['English,', 'Hindi']",['Hindi [Original]']
Nanpakal Nerathu Mayakkam,2023,U/A 13+ ,1h 47m,"In this Malayalam-Tamil drama, an irritable James wakes up on a bus believing he is Sundaram, a man who disappeared from a quiet village years ago.",['Dramas'],Intimate,"['Mammootty', 'Ramya Suvi', 'Ramya Pandian', 'T. Suresh Babu', 'Rajesh Sharma', 'Poo Ramu']",['English'],"['Hindi,', 'Malayalam [Original],', 'Telugu']"
Toolsidas Junior,2022,U/A 7+ ,2h 10m,"A young boy seeks to master the game of snooker to defend his father’s legacy after a humiliating loss. But first, he’ll need help from a hardened pro.","['Family Features', 'Hindi-Language Movies', 'Bollywood Movies', 'Children & Family Movies', 'Dramas', 'Sports Movies']","Heartfelt,","['Sanjay Dutt', 'Varun Buddhadev', 'Rajiv Kapoor', 'Tasveer Kamil', 'Chinmay Chandraunshuh', 'Dalip Tahil', 'Barun Chanda', 'Ankur Vikal', 'Badrul Islam', 'Don Ray']","['English,', 'Hindi']",['Hindi [Original]']
Zindagi Na Milegi Dobara,2011,U/A 13+ ,2h 34m,Three friends on an adventurous road trip/bachelor party in Spain learn some lessons about themselves and each other that will change them forever.,"['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Comedies', 'Dramas', 'Romantic Movies']","Charming,","['Hrithik Roshan', 'Abhay Deol', 'Farhan Akhtar', 'Katrina Kaif', 'Kalki Koechlin', 'Deepti Naval', 'Naseeruddin Shah', 'Ariadna Cabrol']",['English'],['Hindi [Original]']
Motu Patlu: Kung Fu Kings,2014,U/A 7+ ,1h 36m,"When a noted but nefarious martial artist comes to town and insults its residents, the valiant Motu seeks training from an expert to defeat him.","['Martial Arts Movies', 'Hindi-Language Movies', 'Children & Family Movies', 'Sports Movies']",Exciting,"['Saurav Chakraborty', 'Shailendra Pandey', 'Sunil Sinha', 'Amarendra Sodi', 'Aditya Jaiswal', 'Prasad Barweh']",['English'],"['Bangla,', 'Gujarati,', 'Hindi [Original],', 'Kannada,', 'Malayalam,', 'Marathi,', 'Tamil,', 'Telugu']"
Guillermo del Toro’s Pinocchio,2022,U/A 7+ ,1h 56m,Oscar-winning filmmaker Guillermo del Toro reinvents the classic story of a wooden puppet brought to life in this stunning stop-motion musical tale.,"['Family Features', 'US Movies', 'Movies Based on Books', 'Action & Adventure']","Dark,","['Ewan McGregor', 'David Bradley', 'Gregory Mann', 'Christoph Waltz', 'Tilda Swinton', 'Burn Gorman', 'Ron Perlman', 'John Turturro', 'Finn Wolfhard', 'Cate Blanchett', 'Tim Blake Nelson']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
The Legend of Tarzan,2016,U/A 13+ ,1h 49m,"After some time living in civilized 19th-century London, the ape-raised Tarzan returns to wild Congo and faces off against abominable colonialists.","['US Movies', 'Period Pieces', 'Movies Based on Books', 'Action & Adventure', 'Dramas']",Exciting,"['Alexander Skarsgård', 'Samuel L. Jackson', 'Margot Robbie', 'Djimon Hounsou', 'Jim Broadbent', 'Christoph Waltz', 'Ben Chaplin', 'Simon Russell Beale', 'Yule Masiteng', 'Sidney Ralitsoele']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Red Notice,2021,U/A 13+ ,1h 58m,An FBI profiler pursuing the world's most wanted art thief becomes his reluctant partner in crime to catch an elusive crook who's always one step ahead.,"['US Movies', 'Crime Movies', 'Action & Adventure', 'Comedies']",Exciting,"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot', 'Ritu Arya', 'Chris Diamantopoulos']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Knight and Day,2010,U/A 16+ ,1h 49m,A woman's airport meet-cute kicks off a wild globe-trotting adventure with a secret agent who might be a keeper — if they can both stay alive.,"['Romantic Comedies', 'Spy Movies', 'US Movies', 'Action & Adventure', 'Comedies', 'Romantic Movies']","Exciting,","['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Jordi Mollá', 'Viola Davis', 'Paul Dano', 'Falk Hentschel', 'Marc Blucas', 'Lennie Loftin', 'Maggie Grace', 'Dale Dye']","['English,', 'Hindi']",['English [Original]']
Uncharted,2022,U/A 16+ ,1h 56m,Street-smart treasure hunter Nathan Drake and his renegade mentor Sully set out on a dangerous adventure across the globe to find Magellan's lost gold.,"['US Movies', 'Action & Adventure']","Adrenaline Rush,","['Tom Holland', 'Mark Wahlberg', 'Antonio Banderas', 'Sophia Ali', 'Tati Gabrielle', 'Steven Waddington', 'Pingi Moli', 'Tiernan Jones', 'Rudy Pankow', 'Jesús Evita', 'Georgia Goodman']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Troll,2022,U/A 13+ ,1h 43m,"When an explosion in the Norwegian mountains awakens an ancient troll, officials appoint a fearless paleontologist to stop it from wreaking deadly havoc.",['Action & Adventure'],"Suspenseful,","['Ine Marie Wilmann', 'Kim Falck', 'Mads Sjøgård Pettersen', 'Gard B. Eidsvold', 'Karoline Viktoria Sletteng Garvang', 'Yusuf Toosh Ibra', 'Bjarne Hjelde', 'Anneke von der Lippe', 'Dennis Storhøi', 'Fridtjov Såheim']","['English,', 'English,', 'Norwegian']","['English,', 'Spanish - Audio Description,', 'Spanish,', 'Hindi,', 'Norwegian - Audio Description,', 'Norwegian [Original],', 'Telugu']"
Spider-Man: Into the Spider-Verse,2018,U/A 13+ ,1h 56m,"After being bitten by a radioactive spider, Brooklyn teen Miles Morales gets a crash course in web-slinging from his alternate-dimension counterparts.","['US Movies', 'Action & Adventure', 'Comedies']","Suspenseful,","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Lauren Vélez', 'Mahershala Ali', 'Lily Tomlin', 'Kathryn Hahn', 'Liev Schreiber', 'Kimiko Glenn', 'Nicolas Cage', 'John Mulaney']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Jurassic Park,1993,U/A 16+ ,2h 6m,"Science, sabotage and prehistoric DNA collide when cloned dinosaurs escape their enclosures at a top-secret theme park and begin preying on the guests.","['Sci-Fi Movies', 'US Movies', 'Movies Based on Books', 'Action & Adventure']",,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Wonder Woman 1984,2020,U/A 13+ ,2h 31m,"While working at the Smithsonian, secret superhero Diana Prince discovers the miracle — and menace — of a mysterious artifact’s staggering powers.","['US Movies', 'Action & Adventure']",Exciting,"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal', 'Robin Wright', 'Connie Nielsen']",['English'],"['English [Original],', 'Hindi']"
Godzilla vs. Kong,2021,U/A 13+ ,1h 53m,An ancient rivalry pits two legends against each other while a mission into uncharted terrain unearths clues to the Titans' very origins.,"['Sci-Fi Movies', 'US Movies', 'Action & Adventure']",Exciting,"['Alexander Skarsgård', 'Millie Bobby Brown', 'Rebecca Hall', 'Brian Tyree Henry', 'Shun Oguri', 'Eiza González', 'Julian Dennison', 'Lance Reddick', 'Kyle Chandler', 'Demián Bichir']",['English'],"['English [Original],', 'Hindi']"
The Mummy,2017,U/A 16+ ,1h 50m,A treasure-hunting soldier reawakens an ancient Egyptian princess who has waited for centuries to take revenge on a world that wronged her.,"['US Movies', 'Action & Adventure']","Suspenseful,","['Tom Cruise', 'Annabelle Wallis', 'Sofia Boutella', 'Russell Crowe', 'Jake Johnson', 'Courtney B. Vance', 'Marwan Kenzari', 'Simon Atherton', 'Stephen Thompson', 'James Arama']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
300: Rise of an Empire,2014,A ,1h 42m,"Mortal-turned-god Xerxes is back, leading the Persian forces in their invasion of Greece.","['Movies Based on Real Life', 'US Movies', 'Action & Adventure']","Violent,","['Sullivan Stapleton', 'Eva Green', 'Lena Headey', 'Hans Matheson', 'Callan Mulvey', 'David Wenham', 'Rodrigo Santoro', ""Jack O'Connell"", 'Andrew Tiernan']",['English'],"['English [Original],', 'Hindi']"
Against The Ice,2022,U/A 13+ ,1h 43m,"Exploring Greenland's vast landscape for a lost map, two men must fight to survive. Based on the true story of Denmark's 1909 polar expedition.","['Movies Based on Real Life', 'Period Pieces', 'Movies Based on Books', 'Action & Adventure', 'Dramas']",Suspenseful,"['Nikolaj Coster-Waldau', 'Joe Cole', 'Heida Reed', 'Charles Dance', 'Gísli Örn Garðarsson', 'Sam Redford', 'Diarmaid Murtagh', 'Ed Speleers', 'Frankie Wilson', 'Nick Jameson']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Mortal Kombat,2021,A ,1h 50m,"On the brink of being conquered by Outworld, Earthrealm fighters driven by an ancient prophecy must win the final tournament to save humanity.","['Martial Arts Movies', 'US Movies', 'Action & Adventure', 'Sports Movies']",Adrenaline Rush,"['Lewis Tan', 'Jessica McNamee', 'Josh Lawson', 'Tadanobu Asano', 'Hiroyuki Sanada', 'Mehcad Brooks', 'Ludi Lin', 'Chin Han', 'Joe Taslim', 'Max Huang', 'Sisi Stringer']",['English'],"['English [Original],', 'Hindi']"
Snake Eyes: G.I. Joe Origins,2021,U/A 13+ ,2h 2m,"Taken in by an ancient clan, strong-willed warrior Snake Eyes trains to become the ultimate weapon to strike down the deadly Cobra organization.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']","Dark,","['Henry Golding', 'Andrew Koji', 'Úrsula Corberó', 'Samara Weaving', 'Iko Uwais', 'Haruka Abe', 'Takehiro Hira', 'Peter Mensah', 'James Hiroyuki Liao']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Venom: Let There Be Carnage,2021,U/A 13+ ,1h 37m,"While Eddie Brock and Venom try to navigate their thorny relationship, a new threat rises from serial killer Cletus Kasady and a new alien symbiote.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']",Adrenaline Rush,"['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris', 'Reid Scott', 'Stephen Graham', 'Peggy Lu', 'Sian Webber', 'Michelle Greenidge', 'Rob Bowen']",['English'],"['English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
